"Variable","Minimo","Q1","Q3","Maximo","Rango","Rango_Intercuartilico","Asimetria","Curtosis"
"Tarifa",0.01,6,12.5,59.9,59.89,6.5,2.7462,11.8754
"Distancia (km)",1e-04,1.2808,3.9192,31.1508,31.1507,2.6384,2.8684,13.102
