"Variable","Media","Mediana","Moda","Desviacion_Estandar","Varianza","Coef_Variacion"
"Tarifa",11.1506,8.5,6.5,8.8583,78.4696,79.4426
"Distancia (km)",3.3145,2.1782,6e-04,3.4929,12.2005,105.3826
