"Día de la semana","Frecuencia","Porcentaje","Porcentaje_Acumulado"
"vie",29675,15.425,15.425
"sáb",29157,15.156,30.581
"jue",28901,15.023,45.604
"mié",27900,14.503,60.107
"mar",27099,14.086,74.193
"dom",25419,13.213,87.406
"lun",24229,12.594,100
