"Cantidad de Pasajeros","Frecuencia","Porcentaje","Porcentaje_Acumulado"
0,708,0.354,0.354
1,138416,69.212,69.566
2,29427,14.714,84.28
3,8881,4.441,88.721
4,4275,2.138,90.859
5,14008,7.004,97.863
6,4271,2.136,99.999
208,1,0.001,100
