"Año","Frecuencia","Porcentaje","Porcentaje_Acumulado"
2009,29693,15.435,15.435
2010,29073,15.112,30.547
2011,30226,15.712,46.259
2012,30867,16.045,62.304
2013,30167,15.681,77.985
2014,28967,15.057,93.042
2015,13387,6.959,100.001
