term,estimate,std.error,statistic,p.value,conf.low,conf.high,Significancia
Intercepto (β₀),1.820747609082798,0.001122132929023516,1622.5774700927982,0,1.8185482551505343,1.8229469630150619,Extremadamente Significativo
log(distance_km),0.49019269419239,9.033496909128481e-4,542.6389128412089,0,0.4884221502189168,0.4919632381658632,Extremadamente Significativo
