"Cantidad de Pasajeros","Frecuencia","Porcentaje","Porcentaje_Acumulado"
0,708,0.354023011495747,0.354023011495747
1,138416,69.2124988124228,69.5665218239185
2,29427,14.7144564396686,84.2809782635871
3,8881,4.44078865126233,88.7217669148495
4,4275,2.13763894653152,90.859405861381
5,14008,7.00445528959382,97.8638611509748
6,4271,2.13563881652307,99.9994999674979
208,1,0.000500032502112637,100
