"Año","Frecuencia","Porcentaje","Porcentaje_Acumulado"
2009,30535,15.2684924520094,15.2684924520094
2010,30193,15.0974813362869,30.3659737882962
2011,31941,15.9715381499798,46.337511938276
2012,32390,16.1960527434283,62.5335646817043
2013,31194,15.5980138709016,78.1315785526059
2014,29968,14.9849740233115,93.1165525759174
2015,13766,6.88344742408257,100
