"Día de la semana","Frecuencia","Porcentaje","Porcentaje_Acumulado"
"vie",30878,15.440003600234,15.440003600234
"sáb",30246,15.1239830588988,30.5639866591328
"jue",30021,15.0114757459235,45.5754624050563
"mié",29033,14.5174436338362,60.0929060388925
"mar",28126,14.06391415442,74.1568201933126
"dom",26440,13.2208593558581,87.3776795491707
"lun",25243,12.6223204508293,100
